totim,time_step,stress_period,name,ZONE_1
305.0,0,10,FROM_RECHARGE,427474.53
305.0,0,10,FROM_ZONE_0,0.0
305.0,0,10,FROM_ZONE_1,0.0
305.0,0,10,TOTAL_IN,463443.22
305.0,0,10,TO_STORAGE,0.06752578
305.0,0,10,TO_CONSTANT_HEAD,0.0
305.0,0,10,TO_DRAINS,203025.62
305.0,0,10,TO_RECHARGE,0.0
305.0,0,10,TO_ZONE_0,0.0
305.0,0,10,TO_ZONE_1,0.0
305.0,0,10,TOTAL_OUT,203025.69
305.0,0,10,IN-OUT,260417.53
305.0,0,10,PERCENT_DISCREPANCY,78.148445
335.0,0,11,FROM_STORAGE,6275.5723
335.0,0,11,FROM_CONSTANT_HEAD,29693.05
335.0,0,11,FROM_DRAINS,0.0
335.0,0,11,FROM_RECHARGE,427474.53
335.0,0,11,FROM_ZONE_0,0.0
335.0,0,11,FROM_ZONE_1,0.0
335.0,0,11,TOTAL_IN,463443.16
335.0,0,11,TO_STORAGE,0.06906614
335.0,0,11,TO_CONSTANT_HEAD,0.0
335.0,0,11,TO_DRAINS,203025.56
335.0,0,11,TO_RECHARGE,0.0
335.0,0,11,TO_ZONE_0,0.0
335.0,0,11,TO_ZONE_1,0.0
335.0,0,11,TOTAL_OUT,203025.62
335.0,0,11,IN-OUT,260417.53
335.0,0,11,PERCENT_DISCREPANCY,78.14846
366.0,0,12,FROM_STORAGE,6275.4883
366.0,0,12,FROM_CONSTANT_HEAD,29693.05
366.0,0,12,FROM_DRAINS,0.0
366.0,0,12,FROM_RECHARGE,427474.53
366.0,0,12,FROM_ZONE_0,0.0
366.0,0,12,FROM_ZONE_1,0.0
366.0,0,12,TOTAL_IN,463443.06
366.0,0,12,TO_STORAGE,0.06686981
366.0,0,12,TO_CONSTANT_HEAD,0.0
366.0,0,12,TO_DRAINS,203025.47
366.0,0,12,TO_RECHARGE,0.0
366.0,0,12,TO_ZONE_0,0.0
366.0,0,12,TO_ZONE_1,0.0
366.0,0,12,TOTAL_OUT,203025.53
366.0,0,12,IN-OUT,260417.53
366.0,0,12,PERCENT_DISCREPANCY,78.148476
397.0,0,13,FROM_STORAGE,201395.11
397.0,0,13,FROM_CONSTANT_HEAD,30085.98
397.0,0,13,FROM_DRAINS,0.0
397.0,0,13,FROM_RECHARGE,300949.5
397.0,0,13,FROM_ZONE_0,0.0
397.0,0,13,FROM_ZONE_1,0.0
397.0,0,13,TOTAL_IN,532430.6
397.0,0,13,TO_STORAGE,1.3438091
397.0,0,13,TO_CONSTANT_HEAD,0.0
397.0,0,13,TO_DRAINS,184118.31
397.0,0,13,TO_RECHARGE,0.0
397.0,0,13,TO_ZONE_0,0.0
397.0,0,13,TO_ZONE_1,0.0
397.0,0,13,TOTAL_OUT,184119.66
397.0,0,13,IN-OUT,348310.97
397.0,0,13,PERCENT_DISCREPANCY,97.21885
425.0,0,14,FROM_STORAGE,187954.19
425.0,0,14,FROM_CONSTANT_HEAD,30266.875
425.0,0,14,FROM_DRAINS,0.0
425.0,0,14,FROM_RECHARGE,300949.5
425.0,0,14,FROM_ZONE_0,0.0
425.0,0,14,FROM_ZONE_1,0.0
425.0,0,14,TOTAL_IN,519170.56
425.0,0,14,TO_STORAGE,1.1149793
425.0,0,14,TO_CONSTANT_HEAD,0.0
425.0,0,14,TO_DRAINS,170858.34
425.0,0,14,TO_RECHARGE,0.0
425.0,0,14,TO_ZONE_0,0.0
425.0,0,14,TO_ZONE_1,0.0
425.0,0,14,TOTAL_OUT,170859.45
425.0,0,14,IN-OUT,348311.12
425.0,0,14,PERCENT_DISCREPANCY,100.95535
456.0,0,15,FROM_STORAGE,176228.34
456.0,0,15,FROM_CONSTANT_HEAD,30373.438
456.0,0,15,FROM_DRAINS,0.0
456.0,0,15,FROM_RECHARGE,300949.5
456.0,0,15,FROM_ZONE_0,0.0
456.0,0,15,FROM_ZONE_1,0.0
456.0,0,15,TOTAL_IN,507551.28
456.0,0,15,TO_STORAGE,0.96156
456.0,0,15,TO_CONSTANT_HEAD,0.0
456.0,0,15,TO_DRAINS,159239.27
456.0,0,15,TO_RECHARGE,0.0
456.0,0,15,TO_ZONE_0,0.0
456.0,0,15,TO_ZONE_1,0.0
456.0,0,15,TOTAL_OUT,159240.23
456.0,0,15,IN-OUT,348311.06
456.0,0,15,PERCENT_DISCREPANCY,104.47376
486.0,0,16,FROM_STORAGE,166535.98
486.0,0,16,FROM_CONSTANT_HEAD,30433.023
486.0,0,16,FROM_DRAINS,0.0
486.0,0,16,FROM_RECHARGE,300949.5
486.0,0,16,FROM_ZONE_0,0.0
486.0,0,16,FROM_ZONE_1,0.0
486.0,0,16,TOTAL_IN,497918.5
486.0,0,16,TO_STORAGE,0.8755393
486.0,0,16,TO_CONSTANT_HEAD,0.0
486.0,0,16,TO_DRAINS,149612.75
486.0,0,16,TO_RECHARGE,0.0
486.0,0,16,TO_ZONE_0,0.0
486.0,0,16,TO_ZONE_1,0.0
486.0,0,16,TOTAL_OUT,149613.62
486.0,0,16,IN-OUT,348304.88
486.0,0,16,PERCENT_DISCREPANCY,107.57918
517.0,0,17,FROM_STORAGE,158395.56
517.0,0,17,FROM_CONSTANT_HEAD,30470.71
517.0,0,17,FROM_DRAINS,0.0
517.0,0,17,FROM_RECHARGE,300949.5
517.0,0,17,FROM_ZONE_0,0.0
517.0,0,17,FROM_ZONE_1,0.0
517.0,0,17,TOTAL_IN,489815.78
517.0,0,17,TO_STORAGE,0.79816806
517.0,0,17,TO_CONSTANT_HEAD,0.0
517.0,0,17,TO_DRAINS,141533.06
517.0,0,17,TO_RECHARGE,0.0
517.0,0,17,TO_ZONE_0,0.0
517.0,0,17,TO_ZONE_1,0.0
517.0,0,17,TOTAL_OUT,141533.86
517.0,0,17,IN-OUT,348281.94
517.0,0,17,PERCENT_DISCREPANCY,110.32934
547.0,0,18,FROM_STORAGE,152403.16
